
#Scheme	Count	Accuracy
Scheme	DofI	DofI
FG	212.546875	99.75799354649457
BG	212.390625	99.68465825755354
BL	105.109375	98.66529774127311
CW	27.859375	99.88795518207283
WS	18.578125	88.86397608370703
Syn	0.5	96.96969696969697

Total	576.984375	99.14353219137625


#Scheme	Count	Accuracy
Scheme	Twain	Twain
FG	364.109375	96.80541708208708
BG	363.5625	96.66001994017947
BL	173.03125	92.00731139913593
CW	46.09375	99.69584319026698
WS	36.03125	87.71395968048688
Syn	0.90625	98.30508474576271

Total	983.734375	95.64312516140794


#Scheme	Count	Accuracy
Scheme	SofU	SofU
FG	875.875	99.7615234027407
BG	875.4375	99.7116924719701
BL	433.5	98.7506673785371
CW	112.328125	99.62583148558758
WS	85.140625	89.38648293963254
Syn	1.90625	97.6

Total	2384.1875	99.13976817921929


#Scheme	Count	Accuracy
Scheme	Turing	Turing
FG	1732.140625	99.75075134522288
BG	1731.484375	99.71295913041914
BL	852.78125	98.22016664567099
CW	224.9375	99.84048824467716
WS	165.09375	89.90045094869394
Syn	4.8125	97.77777777777777

Total	4711.25	99.0792647261782

