
#Scheme	Count	Accuracy
Scheme	DofI	DofI
FG	212.171875	99.80155813611641
BG	212.046875	99.74276054681758
BL	105.171875	98.9416433926209
CW	27.765625	99.77540707467715
WS	18.5	88.49028400597908
Syn	0.515625	100.0


#Scheme	Count	Accuracy
Scheme	Twain	Twain
FG	358.65625	99.35936282572938
BG	359.28125	99.53250800796468
BL	172.25	95.43762444809973
CW	46.015625	99.6278755074425
WS	37.203125	89.81516408902301
Syn	0.953125	100.0


#Scheme	Count	Accuracy
Scheme	SofU	SofU
FG	873.28125	99.74301317057501
BG	873.1875	99.73230538601564
BL	434.5	99.25402434236356
CW	112.34375	99.90273725163263
WS	85.3125	89.56692913385827
Syn	1.9375	97.63779527559055

