
#Scheme	Count	Precision	Recall
Scheme	"400dpi 90%"	"400dpi 90%"	"400dpi 90%"
FG	213	100.0	100.0
BG	213	100.0	100.0
BL	106	100.0	99.05660377358491
CW	27	100.0	92.5925925925926
WS	20	100.0	70.0
Syn	0	NaN	NaN

Total	579	100.0	98.44559585492227


#Scheme	Count	Precision	Recall
Scheme	"400dpi 70%"	"400dpi 70%"	"400dpi 70%"
FG	213	100.0	100.0
BG	213	100.0	100.0
BL	106	100.0	99.05660377358491
CW	27	100.0	88.88888888888889
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	98.10017271157167


#Scheme	Count	Precision	Recall
Scheme	"400dpi 50%"	"400dpi 50%"	"400dpi 50%"
FG	213	100.0	100.0
BG	213	100.0	99.53051643192488
BL	106	100.0	99.05660377358491
CW	27	100.0	88.88888888888889
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	97.92746113989638


#Scheme	Count	Precision	Recall
Scheme	"300dpi 90%"	"300dpi 90%"	"300dpi 90%"
FG	213	100.0	99.06103286384976
BG	213	100.0	99.06103286384976
BL	106	100.0	83.9622641509434
CW	27	100.0	100.0
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	95.16407599309153


#Scheme	Count	Precision	Recall
Scheme	"300dpi 70%"	"300dpi 70%"	"300dpi 70%"
FG	213	100.0	98.12206572769952
BG	213	100.0	97.1830985915493
BL	106	100.0	83.9622641509434
CW	27	100.0	100.0
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	94.12780656303973


#Scheme	Count	Precision	Recall
Scheme	"300dpi 50%"	"300dpi 50%"	"300dpi 50%"
FG	213	100.0	59.154929577464785
BG	213	100.0	94.83568075117371
BL	106	100.0	83.9622641509434
CW	27	100.0	100.0
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	78.92918825561313


#Scheme	Count	Precision	Recall
Scheme	"200dpi 90%"	"200dpi 90%"	"200dpi 90%"
FG	213	100.0	99.53051643192488
BG	213	100.0	99.53051643192488
BL	106	100.0	52.83018867924528
CW	27	100.0	88.88888888888889
WS	20	100.0	40.0
Syn	0	NaN	NaN

Total	579	100.0	88.42832469775475


#Scheme	Count	Precision	Recall
Scheme	"200dpi 70%"	"200dpi 70%"	"200dpi 70%"
FG	213	100.0	53.051643192488264
BG	213	100.0	71.36150234741784
BL	106	100.0	52.83018867924528
CW	27	100.0	88.88888888888889
WS	20	100.0	40.0
Syn	0	NaN	NaN

Total	579	100.0	60.96718480138169


#Scheme	Count	Precision	Recall
Scheme	"200dpi 50%"	"200dpi 50%"	"200dpi 50%"
FG	213	100.0	10.7981220657277
BG	213	100.0	22.065727699530516
BL	106	100.0	52.83018867924528
CW	27	100.0	88.88888888888889
WS	20	100.0	35.0
Syn	0	NaN	NaN

Total	579	100.0	27.11571675302245


#Scheme	Count	Precision	Recall
Scheme	"100dpi 90%"	"100dpi 90%"	"100dpi 90%"
FG	213	NaN	0.0
BG	213	100.0	25.821596244131456
BL	106	100.0	7.547169811320755
CW	27	100.0	22.22222222222222
WS	20	NaN	0.0
Syn	0	NaN	NaN

Total	579	100.0	11.917098445595855


#Scheme	Count	Precision	Recall
Scheme	"100dpi 70%"	"100dpi 70%"	"100dpi 70%"
FG	213	NaN	0.0
BG	213	NaN	0.0
BL	106	100.0	9.433962264150944
CW	27	100.0	22.22222222222222
WS	20	NaN	0.0
Syn	0	NaN	NaN

Total	579	100.0	2.763385146804836


#Scheme	Count	Precision	Recall
Scheme	"100dpi 50%"	"100dpi 50%"	"100dpi 50%"
FG	213	NaN	0.0
BG	213	NaN	0.0
BL	106	100.0	8.49056603773585
CW	27	100.0	14.814814814814813
WS	20	100.0	5.0
Syn	0	NaN	NaN

Total	579	100.0	2.4179620034542317

