#Scheme	Count	Precision	Recall
Scheme	DofI.txt	DofI.txt	DofI.txt
FG	213	100.0	100.0
BG	213	100.0	99.53051643192488
BL	106	100.0	99.05660377358491
CW	27	100.0	88.88888888888889
WS	20	100.0	65.0
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	Twain.txt	Twain.txt	Twain.txt
FG	376	100.0	95.2127659574468
BG	376	100.0	94.9468085106383
BL	188	100.0	91.48936170212765
CW	46	100.0	80.43478260869566
WS	41	100.0	39.02439024390244
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	Turing.txt	Turing.txt	Turing.txt
FG	1736	100.0	99.30875576036865
BG	1736	100.0	99.25115207373271
BL	868	100.0	98.38709677419355
CW	225	100.0	85.77777777777777
WS	183	100.0	51.91256830601093
Syn	4	100.0	25.0


#Scheme	Count	Precision	Recall
Scheme	SofU.txt	SofU.txt	SofU.txt
FG	877	100.0	99.8859749144812
BG	877	100.0	99.8859749144812
BL	438	100.0	99.77168949771689
CW	112	100.0	84.82142857142857
WS	95	100.0	41.05263157894737
Syn	1	NaN	0.0

