#Scheme	Count	Precision	Recall
Scheme	DofI.txt	DofI.txt	DofI.txt
FG	212	100.0	100.0
BG	212	100.0	99.52830188679245
BL	106	100.0	99.05660377358491
CW	27	100.0	100.0
WS	20	100.0	40.0
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	Twain.txt	Twain.txt	Twain.txt
FG	375	100.0	94.39999999999999
BG	375	100.0	94.39999999999999
BL	187	100.0	89.3048128342246
CW	46	100.0	100.0
WS	41	100.0	41.46341463414634
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	Turing.txt	Turing.txt	Turing.txt
FG	1732	100.0	98.90300230946882
BG	1732	100.0	99.01847575057737
BL	866	100.0	97.92147806004618
CW	225	100.0	97.33333333333334
WS	183	100.0	48.63387978142077
Syn	4	100.0	100.0


#Scheme	Count	Precision	Recall
Scheme	SofU.txt	SofU.txt	SofU.txt
FG	875	100.0	99.65714285714286
BG	875	100.0	99.65714285714286
BL	437	100.0	99.54233409610984
CW	112	100.0	98.21428571428571
WS	95	100.0	42.10526315789473
Syn	1	100.0	100.0


