
#Scheme	Count	Precision	Recall
Scheme	Twain	Twain	Twain
FG	361	100.0	98.06094182825484
BG	361	100.0	97.78393351800554
BL	180	100.0	59.44444444444444
CW	46	100.0	82.6086956521739
WS	41	100.0	34.146341463414636
Syn	0	NaN	NaN

Total	989	100.0	87.56319514661274


#Scheme	Count	Precision	Recall
Scheme	Turing	Turing	Turing
FG	1736	100.0	99.02073732718894
BG	1736	100.0	98.90552995391705
BL	868	100.0	57.14285714285714
CW	225	69.39890710382514	56.44444444444444
WS	183	100.0	31.147540983606557
Syn	4	100.0	25.0

Total	4752	98.65803977953512	86.63720538720538


#Scheme	Count	Precision	Recall
Scheme	SofU	SofU	SofU
FG	877	100.0	99.54389965792474
BG	877	100.0	99.65792474344356
BL	438	100.0	56.849315068493155
CW	112	100.0	83.03571428571429
WS	95	100.0	34.73684210526316
Syn	1	NaN	0.0

Total	2400	100.0	88.41666666666667


#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	99.53051643192488
BG	213	100.0	99.53051643192488
BL	106	100.0	52.83018867924528
CW	27	100.0	88.88888888888889
WS	20	100.0	40.0
Syn	0	NaN	NaN

Total	579	100.0	88.42832469775475

