
#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	100.0
BG	213	100.0	100.0
BL	106	100.0	99.05660377358491
CW	27	100.0	92.5925925925926
WS	20	100.0	70.0
Syn	0	NaN	NaN

Total	579	100.0	98.44559585492227


#Scheme	Count	Precision	Recall
Scheme	Twain	Twain	Twain
FG	361	100.0	100.0
BG	361	100.0	99.7229916897507
BL	180	100.0	91.66666666666666
CW	46	100.0	89.13043478260869
WS	41	100.0	51.21951219512195
Syn	0	NaN	NaN

Total	989	100.0	95.85439838220424


#Scheme	Count	Precision	Recall
Scheme	SofU	SofU	SofU
FG	877	100.0	99.65792474344356
BG	877	100.0	99.77194982896236
BL	438	100.0	99.77168949771689
CW	112	100.0	92.85714285714286
WS	95	100.0	51.578947368421055
Syn	1	NaN	0.0

Total	2400	100.0	97.45833333333334


#Scheme	Count	Precision	Recall
Scheme	Turing	Turing	Turing
FG	1736	100.0	98.963133640553
BG	1736	100.0	99.07834101382488
BL	868	100.0	96.08294930875576
CW	225	71.93877551020408	62.66666666666667
WS	183	100.0	62.841530054644814
Syn	4	100.0	25.0

Total	4752	98.8001745200698	95.30723905723906

