
#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	212	100.0	100.0
BG	212	100.0	99.52830188679245
BL	106	100.0	99.05660377358491
CW	27	100.0	100.0
WS	20	100.0	50.0
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	Twain	Twain	Twain
FG	360	100.0	98.05555555555556
BG	360	100.0	98.05555555555556
BL	180	100.0	88.88888888888889
CW	46	100.0	97.82608695652173
WS	41	100.0	68.29268292682927
Syn	0	NaN	NaN


#Scheme	Count	Precision	Recall
Scheme	SofU	SofU	SofU
FG	875	100.0	99.65714285714286
BG	875	100.0	99.77142857142857
BL	437	100.0	99.77116704805492
CW	112	100.0	98.21428571428571
WS	95	100.0	61.05263157894737
Syn	1	100.0	100.0


#Scheme	Count	Precision	Recall
Scheme	Turing	Turing	Turing
FG	1732	100.0	98.84526558891456
BG	1732	100.0	98.96073903002309
BL	866	100.0	95.84295612009238
CW	225	100.0	97.33333333333334
WS	183	100.0	56.284153005464475
Syn	4	100.0	100.0

