
#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	100.0
BG	213	100.0	100.0
BL	106	100.0	99.05660377358491
CW	27	100.0	88.88888888888889
WS	20	100.0	65.0
Syn	0	NaN	NaN

Total	579	100.0	98.10017271157167


#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	100.0
BG	213	100.0	100.0
BL	106	100.0	99.05660377358491
CW	27	100.0	92.5925925925926
WS	20	100.0	70.0
Syn	0	NaN	NaN

Total	579	100.0	98.44559585492227


#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	99.06103286384976
BG	213	100.0	99.06103286384976
BL	106	100.0	37.735849056603776
CW	11	100.0	36.36363636363637
WS	20	100.0	30.0
Syn	0	NaN	NaN

Total	563	100.0	83.83658969804618

