#Scheme	Count	Accuracy
Scheme	DofI.txt	DofI.txt
FG	212.46875	99.72132590202405
BG	212.546875	99.75799354649457
BL	105.875	99.38398357289527
CW	27.828125	99.77591036414566
WS	18.828125	90.05979073243647
Syn	0.5	96.96969696969697


#Scheme	Count	Accuracy
Scheme	Twain.txt	Twain.txt
FG	364.359375	96.87188434695912
BG	364.65625	96.95081422399468
BL	179.296875	95.33898305084746
CW	46.09375	99.69584319026698
WS	36.84375	89.6918980600989
Syn	0.890625	96.61016949152543


#Scheme	Count	Accuracy
Scheme	Turing.txt	Turing.txt
FG	1731.1875	99.685098878952
BG	1732.25	99.74627966818419
BL	861.890625	99.25863278930416
CW	224.859375	99.812734082397
WS	166.234375	90.52156896111632
Syn	4.796875	97.15189873417721


#Scheme	Count	Accuracy
Scheme	SofU.txt	SofU.txt
FG	875.40625	99.7081331197722
BG	876.140625	99.79177789642286
BL	436.0625	99.3344011389927
CW	112.265625	99.57039911308205
WS	85.859375	90.14107611548556
Syn	1.875	97.5609756097561
