#Scheme	Count	Accuracy
Scheme	DofI.txt	DofI.txt
FG	212.171875	99.80155813611641
BG	212.109375	99.772159341467
BL	105.390625	99.14743495516684
CW	27.765625	99.77540707467715
WS	18.6875	89.38714499252616
Syn	0.515625	100.0


#Scheme	Count	Accuracy
Scheme	Twain.txt	Twain.txt
FG	364.125	96.97877652933833
BG	364.15625	96.98709945900957
BL	178.640625	95.15605493133583
CW	46.1875	99.93238674780257
WS	36.640625	89.23135464231355
Syn	0.953125	100.0


#Scheme	Count	Accuracy
Scheme	Turing.txt	Turing.txt
FG	1728.75	99.77275186668109
BG	1729.171875	99.79709988096526
BL	857.75	99.00804386249685
CW	225.1875	99.94452149791955
WS	166.078125	90.43648430188037
Syn	4.9375	99.6845425867508


#Scheme	Count	Accuracy
Scheme	SofU.txt	SofU.txt
FG	873.28125	99.74301317057501
BG	873.234375	99.73765927829533
BL	435.0625	99.38251775707606
CW	112.34375	99.90273725163263
WS	85.75	90.0262467191601
Syn	1.9375	97.63779527559055

